CommodityCode,CountryOfManufacture,Construction,Material1,Percentage1,Material2,Percentage2,Material3,Percentage3,Material4,Percentage4,Material5,Percentage5
61159900,Made in China,Knit,CoolMax,70,Elastane,25,Nylon,5,,,,
61159400,Made in China,Knit,Elastane,25,Nylon,1,Wool,74,,,,
61159400,Made in China,Knit,Elastane,25,Nylon,1,Wool,74,,,,
90041099,Made in China,Not specified,Polycarbonate,90,Rubber,10,,,,,,
61171000,Made in China,Knit,Polyester,100,,,,,,,,
61171000,Made in China,Knit,Polyester,100,,,,,,,,
61171000,Made in China,Knit,Polyester,100,,,,,,,,
61171000,Made in China,Knit,Polyester,100,,,,,,,,
61171000,Made in China,Knit,Polyester,100,,,,,,,,
61171000,Made in China,Knit,Polyester,100,,,,,,,,
90041091,Made in China,Moulded,Polycarbonate,85,Rubber,15,,,,,,
90041091,Made in China,Not specified,Polycarbonate,80,Rubber,20,,,,,,
64052099,Made in China,Not specified,Elastane,10,Nylon,67,PU,23,,,,
61159699,Made in China,Knit,Elastane,23,Lycra,32,Nylon,45,,,,
61159699,Made in China,Knit,Elastane,23,Lycra,32,Nylon,45,,,,
61159699,Made in China,Knit,Elastane,23,Lycra,32,Nylon,45,,,,
61159699,Made in China,Knit,Elastane,23,Lycra,32,Nylon,45,,,,
61171000,Made in China,Knit,Wool,100,,,,,,,,
61171000,Made in China,Knit,Wool,100,,,,,,,,
61171000,Made in China,Knit,Wool,100,,,,,,,,
61171000,Made in China,Knit,Wool,100,,,,,,,,
61171000,Made in China,Knit,Wool,100,,,,,,,,
62160000,Made in China,Not specified,Elastane,40,Nylon,31,PU,29,,,,
62160000,Made in China,Not specified,Elastane,40,Nylon,31,PU,29,,,,
62160000,Made in China,Not specified,Elastane,40,Nylon,31,PU,29,,,,
62160000,Made in China,Not specified,Elastane,40,Nylon,31,PU,29,,,,
62160000,Made in China,Not specified,Elastane,40,Nylon,31,PU,29,,,,
62160000,Made in China,Not specified,Elastane,40,Nylon,31,PU,29,,,,
61169300,Made in Cambodia,Not specified,Elastane,15,Nylon,25,Polyester,40,PU,20,,
61169300,Made in Cambodia,Not specified,Elastane,15,Nylon,25,Polyester,40,PU,20,,
61169300,Made in Cambodia,Not specified,Elastane,15,Nylon,25,Polyester,40,PU,20,,
61169300,Made in Cambodia,Not specified,Elastane,15,Nylon,25,Polyester,40,PU,20,,
61169300,Made in Cambodia,Not specified,Elastane,15,Nylon,25,Polyester,40,PU,20,,
61169300,Made in Cambodia,Not specified,Elastane,15,Nylon,25,Polyester,40,PU,20,,
61171000,Made in China,Not specified,Polyester,100,,,,,,,,
61171000,Made in China,Not specified,Polyester,100,,,,,,,,
61171000,Made in China,Not specified,Polyester,100,,,,,,,,
61171000,Made in China,Not specified,Polyester,100,,,,,,,,
61171000,Made in China,Not specified,Polyester,100,,,,,,,,
61171000,Made in China,Not specified,Polyester,100,,,,,,,,
65050030,Made in China,Knit,Elastane,14,Nylon,27,Polyester,54,PU,5,,
65050030,Made in China,Knit,Elastane,14,Nylon,27,Polyester,54,PU,5,,
65050090,Made in China,Knit,Elastane,14,Nylon,27,Polyester,54,PU,5,,
65050090,Made in China,Knit,Elastane,14,Nylon,27,Polyester,54,PU,5,,
65050090,Made in China,Knit,Elastane,14,Nylon,27,Polyester,54,PU,5,,
65050090,Made in China,Knit,Elastane,14,Nylon,27,Polyester,54,PU,5,,
62160000,Made in Indonesia,Not specified,Elastane,10,Nylon,25,Polyester,55,PU,10,,
62160000,Made in Indonesia,Not specified,Elastane,10,Nylon,25,Polyester,55,PU,10,,
62160000,Made in Indonesia,Not specified,Elastane,10,Nylon,25,Polyester,55,PU,10,,
62160000,Made in Indonesia,Not specified,Elastane,10,Nylon,25,Polyester,55,PU,10,,
62160000,Made in Indonesia,Not specified,Elastane,10,Nylon,25,Polyester,55,PU,10,,
62160000,Made in Indonesia,Not specified,Elastane,10,Nylon,25,Polyester,55,PU,10,,
